ccid,name,url_path,parent_ccid,seo_name,title,desc,meta_title,meta_desc,meta_keywords,secondary_url_paths,breadcrumbs,image_url,banner_url,is_active,is_primary
PSACE,Equipment,/shop/category/activities/cycling/equipment,PSAC,category-activities-cycling-equipment,Cycling Equipment,,,,,,Activities>Cycling>Equipment,https://ch.sitecoredemo.com/api/public/content/06d00b0d5b974a55a47f8f3bcb9ab025?v=befa69e2,,TRUE,TRUE
PSACEM,Maintenance,/shop/category/activities/cycling/equipment/maintenance,PSACE,category-activities-cycling-equipment-maintenance,Cycling Maintenance,,,,,,Activities>Cycling>Equipment>Maintenance,https://ch.sitecoredemo.com/api/public/content/26e3d33da4564786a432d72d60a2a2dc?v=96eadd5d,,TRUE,TRUE
PSACEE,Electronics,/shop/category/activities/cycling/equipment/electronics,PSACE,category-activities-cycling-equipment-electronics,Cycling Electronics,,,,,,Activities>Cycling>Equipment>Electronics,https://ch.sitecoredemo.com/api/public/content/8ea6299e58f64f4ab6d7616071e516fa?v=8e7eb3c5,,TRUE,TRUE
PSACES,Safety,/shop/category/activities/cycling/equipment/safety,PSACE,category-activities-cycling-equipment-safety,Cycling Safety,,,,,,Activities>Cycling>Equipment>Safety,https://ch.sitecoredemo.com/api/public/content/56d9e8b8b85a4b0598a65af9e4914b20?v=fe623f84,,TRUE,TRUE
PSACC,Clothing and Accessories,/shop/category/activities/cycling/clothing-and-accessories,PSAC,category-activities-cycling-clothing-and-accessories,Cycling Clothing and Accessories,,,,,,Activities>Cycling>Clothing and Accessories,https://ch.sitecoredemo.com/api/public/content/ca9974f243f14074a2fc2d0e0548cd17?v=d06608c3,,TRUE,TRUE
PSACCM,Men,/shop/category/activities/cycling/clothing-and-accessories/men,PSACC,category-activities-cycling-clothing-and-accessories-men,Cycling Clothing and Accessories Men,,,,,,Activities>Cycling>Clothing and Accessories>Men,,,TRUE,TRUE
PSACCW,Women,/shop/category/activities/cycling/clothing-and-accessories/women,PSACC,category-activities-cycling-clothing-and-accessories-women,Cycling Clothing and Accessories Women,,,,,,Activities>Cycling>Clothing and Accessories>Women,,,TRUE,TRUE
PSACCH,Helmets,/shop/category/activities/cycling/clothing-and-accessories/helmets,PSACC,category-activities-cycling-clothing-and-accessories-helmets,Cycling Helmets,,,,,,Activities>Cycling>Clothing and Accessories>Helmets,,,TRUE,TRUE
PSAS,Ski and snowboarding,/shop/category/activities/ski-and-snowboarding,PSA0,category-activities-ski-and-snowboarding,Ski and snowboarding,,,,,,Activities>Ski and snowboarding,,,TRUE,TRUE
PSASM,Memberships and Lessons,/shop/category/activities/ski-and-snowboarding/membership-and-lessons,PSAS,category-activities-ski-and-snowboarding-membership-and-lessons,Ski and snowboarding Memberships and Lessons,,,,,,Activities>Ski and snowboarding>Memberships and Lessons,,,TRUE,TRUE
PSASC,Clothing,/shop/category/activities/ski-and-snowboarding/clothing,PSAS,category-activities-ski-and-snowboarding-clothing,Ski and snowboarding Clothing,,,,,,Activities>Ski and snowboarding>Clothing,,,TRUE,TRUE
PSASCM,Men,/shop/category/activities/ski-and-snowboarding/clothing/men,PSASC,category-activities-ski-and-snowboarding-clothing-men,Ski and snowboarding Clothing Men,,,,,,Activities>Ski and snowboarding>Clothing>Men,,,TRUE,TRUE
PSASCW,Women,/shop/category/activities/ski-and-snowboarding/clothing/women,PSASC,category-activities-ski-and-snowboarding-clothing-women,Ski and snowboarding Clothing Women,,,,,,Activities>Ski and snowboarding>Clothing>Women,,,TRUE,TRUE
PSASE,Equipment,/shop/category/activities/ski-and-snowboarding/equipment,PSAS,category-activities-ski-and-snowboarding-equipment,Ski and snowboarding Equipment,,,,,,Activities>Ski and snowboarding>Equipment,,,TRUE,TRUE
PSASESB,Snowboards,/shop/category/activities/ski-and-snowboarding/equipment/snowboards,PSASE,category-activities-ski-and-snowboarding-equipment-snowboards,Ski and snowboarding Snowboards,,,,,,Activities>Ski and snowboarding>Equipment>Snowboards,,,TRUE,TRUE
PSASESSK,Skis,/shop/category/activities/ski-and-snowboarding/equipment/skis,PSASE,category-activities-ski-and-snowboarding-equipment-skis,Ski and snowboarding Skis,,,,,,Activities>Ski and snowboarding>Equipment>Skis,,,TRUE,TRUE
PSASEP,Parts and accessories,/shop/category/activities/ski-and-snowboarding/equipment/parts-and-accessories,PSASE,category-activities-ski-and-snowboarding-equipment-parts-and-accessories,Ski and snowboarding Parts and accessories,,,,,,Activities>Ski and snowboarding>Equipment>Parts and accessories,,,TRUE,TRUE
PSAG,Golf,/shop/category/activities/golf,PSA0,category-activities-golf,Golf,,,,,,Activities>Golf,https://ch.sitecoredemo.com/api/public/content/5d7fbe7407b644fead88f54c055af741?v=39a0b2ed,,TRUE,TRUE
PSAGG,Golf clubs and sets,/shop/category/activities/golf/golf-clubs-and-sets,PSAG,category-activities-golf-golf-clubs-and-sets,Golf Golf clubs and sets,,,,,,Activities>Golf>Golf clubs and sets,https://ch.sitecoredemo.com/api/public/content/0e69ddaf038142aba68372030e4d358f?v=56532fa4,,TRUE,TRUE
PSAGA,Accessories,/shop/category/activities/golf/accessories,PSAG,category-activities-golf-accessories,Golf Accessories,,,,,,Activities>Golf>Accessories,https://ch.sitecoredemo.com/api/public/content/2b958ba1fd8a4caabf3d1ba5a0d2e947?v=948a6fb6,,TRUE,TRUE
PSAGE,Electronics,/shop/category/activities/golf/electronics,PSAG,category-activities-golf-electronics,Golf Electronics,,,,,,Activities>Golf>Electronics,,,TRUE,TRUE
PSAGM,Memberships and Lessons,/shop/category/activities/golf/memberships-and-lessons,PSAG,category-activities-golf-memberships-and-lessons,Golf Memberships and Lessons,,,,,,Activities>Golf>Memberships and Lessons,,,TRUE,TRUE
PSAGC,Clothing,/shop/category/activities/golf/clothing,PSAG,category-activities-golf-clothing,Golf Clothing,,,,,,Activities>Golf>Clothing,,,TRUE,TRUE
PSAGCM,Men,/shop/category/activities/golf/clothing/men,PSAGC,category-activities-golf-clothing-men,Golf Clothing Men,,,,,,Activities>Golf>Clothing>Men,,,TRUE,TRUE
PSAGCW,Women,/shop/category/activities/golf/clothing/women,PSAGC,category-activities-golf-clothing-women,Golf Clothing Women,,,,,,Activities>Golf>Clothing>Women,,,TRUE,TRUE
PSAH,Hiking,/shop/category/activities/hiking,PSA0,category-activities-hiking,Hiking,,,,,,Activities>Hiking,https://ch.sitecoredemo.com/api/public/content/5d713ce8d77f4b6882baf9c5eacf5492?v=6205356b,,TRUE,TRUE
PSAHE,Equipment,/shop/category/activities/hiking/equipment,PSAH,category-activities-hiking-equipment,Hiking Equipment,,,,,,Activities>Hiking>Equipment,https://ch.sitecoredemo.com/api/public/content/48480d9de2564cef84d45c1c4b83a23d?v=0c964e36,,TRUE,TRUE
PSAHC,Clothing,/shop/category/activities/hiking/clothing,PSAH,category-activities-hiking-clothing,Hiking Clothing,,,,,,Activities>Hiking>Clothing,,,TRUE,TRUE
PSAHCM,Men,/shop/category/activities/hiking/clothing/men,PSAHC,category-activities-hiking-clothing-men,Hiking Clothing Men,,,,,,Activities>Hiking>Clothing>Men,,,TRUE,TRUE
PSAHCW,Women,/shop/category/activities/hiking/clothing/women,PSAHC,category-activities-hiking-clothing-women,Hiking Clothing Women,,,,,,Activities>Hiking>Clothing>Women,,,TRUE,TRUE
PSC0,Clothing,/shop/category/clothing,,category-clothing,Clothing,,,,,,Clothing,,,TRUE,TRUE
PSCM,Men,/shop/category/clothing/men,PSC0,category-clothing-men,Clothing Men,,,,,,Clothing>Men,,,TRUE,TRUE
PSCMT,Tops,/shop/category/clothing/men/tops,PSCM,category-clothing-men-tops,Clothing Men Tops,,,,,,Clothing>Men>Tops,,,TRUE,TRUE
PSCMB,Bottoms,/shop/category/clothing/men/bottoms,PSCM,category-clothing-men-bottoms,Clothing Men Bottoms,,,,,,Clothing>Men>Bottoms,,,TRUE,TRUE
PSCMF,Footwear,/shop/category/clothing/men/footwear,PSCM,category-clothing-men-footwear,Clothing Men Footwear,,,,,,Clothing>Men>Footwear,,,TRUE,TRUE
PSCMA,Accessories,/shop/category/clothing/men/accessories,PSCM,category-clothing-men-accessories,Clothing Men Accessories,,,,,,Clothing>Men>Accessories,,,TRUE,TRUE
PSCMO,Outerwear,/shop/category/clothing/men/outerwear,PSCM,category-clothing-men-outerwear,Clothing Men Outerwear,,,,,,Clothing>Men>Outerwear,,,TRUE,TRUE
PSCW,Women,/shop/category/clothing/women,PSC0,category-clothing-women,Clothing Women,,,,,,Clothing>Women,,,TRUE,TRUE
PSCWT,Tops,/shop/category/clothing/women/tops,PSCW,category-clothing-women-tops,Clothing Women Tops,,,,,,Clothing>Women>Tops,,,TRUE,TRUE
PSCWB,Bottoms,/shop/category/clothing/women/bottoms,PSCW,category-clothing-women-bottoms,Clothing Women Bottoms,,,,,,Clothing>Women>Bottoms,,,TRUE,TRUE
PSCWF,Footwear,/shop/category/clothing/women/footwear,PSCW,category-clothing-women-footwear,Clothing Women Footwear,,,,,,Clothing>Women>Footwear,,,TRUE,TRUE
PSCWA,Accessories,/shop/category/clothing/women/accessories,PSCW,category-clothing-women-accessories,Clothing Women Accessories,,,,,,Clothing>Women>Accessories,,,TRUE,TRUE
PSCWO,Outerwear,/shop/category/clothing/women/outerwear,PSCW,category-clothing-women-outerwear,Clothing Women Outerwear,,,,,,Clothing>Women>Outerwear,,,TRUE,TRUE
PSEW0,Electronics and Wearables,/shop/category/electronics-and-wearables,,category-electronics-and-wearables,Electronics and Wearables,,,,,,Electronics and wearables,https://ch.sitecoredemo.com/api/public/content/69a4eb62b99d48c9aadaa2214f21fd9f?v=397ecf8c,,TRUE,FALSE
PSEWH,Health and Wellness,/shop/category/electronics-and-wearables/health-and-wellness,PSEW0,category-electronics-and-wearables-health-and-wellness,Electronics and Wearables Health and Wellness,,,,,,Electronics and Wearables>Health and Wellness,https://ch.sitecoredemo.com/api/public/content/cdec6835c36e46d7bbf0da159e398011?v=892784b2,,TRUE,FALSE
PSEWA,Activity Trackers,/shop/category/electronics-and-wearables/activity-trackers,PSEW0,category-electronics-and-wearables-activity-trackers,Electronics and Wearables Activity Trackers,,,,,,Electronics and Wearables>Activity Trackers,https://ch.sitecoredemo.com/api/public/content/10bf519e4a864029a046012739c4775c?v=8def2a3d,,TRUE,FALSE
PSEWS,Specialty,/shop/category/electronics-and-wearables/specialty,PSEW0,category-electronics-and-wearables-specialty,Electronics and Wearables Specialty,,,,,,Electronics and Wearables>Specialty,https://ch.sitecoredemo.com/api/public/content/d40d5e817af343f3b0f9eca1a3529cdd?v=41e1a5d8,,TRUE,FALSE
PSSM0,Subscriptions and Memberships,/shop/category/subscriptions-and-memberships,,category-subscriptions-and-memberships,Subscriptions and Memberships,,,,,,Subscriptions and Memberships,,,TRUE,FALSE
PSSMY,Yoga,/shop/category/subscriptions-and-memberships/yoga,PSSM0,category-subscriptions-and-memberships-yoga,Subscriptions and Memberships Yoga,,,,,,Subscriptions and Memberships>Yoga,,,TRUE,FALSE
PSSMF,Fitness,/shop/category/subscriptions-and-memberships/fitness,PSSM0,category-subscriptions-and-memberships-fitness,Subscriptions and Memberships Fitness,,,,,,Subscriptions and Memberships>Fitness,,,TRUE,FALSE
PSSMC,Cycling,/shop/category/subscriptions-and-memberships/cycling,PSSM0,category-subscriptions-and-memberships-cycling,Subscriptions and Memberships Cycling,,,,,,Subscriptions and Memberships>Cycling,,,TRUE,FALSE
PSSMG,Golf,/shop/category/subscriptions-and-memberships/golf,PSSM0,category-subscriptions-and-memberships-golf,Subscriptions and Memberships Golf,,,,,,Subscriptions and Memberships>Golf,,,TRUE,FALSE
PSSMSS,Ski and snowboarding,/shop/category/subscriptions-and-memberships/ski-and-snowboarding,PSSM0,category-subscriptions-and-memberships-ski-and-snowboarding,Subscriptions and Memberships Ski and snowboarding,,,,,,Subscriptions and Memberships>Ski and snowboarding,,,TRUE,FALSE
